ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,Contract_Market_Name,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,Open_Interest_Old,Open_Interest_Other,Change_in_Open_Interest_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Prod_Merc_Long_Other,Contract_Units,CFTC_SubGroup_Code,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME
110531080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/31/2011 12:00:00 AM,2011 Report Week 22,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"606,482","152,135","313,649","141,570","89,694","37,044","22,913","542,727","545,065","606,482",0,"21,551","15,696","26,534",100,25.1,51.7,89.5,89.9,100,25.1,51.7,100,0,0,60,60,209,183,60,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110524080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/24/2011 12:00:00 AM,2011 Report Week 21,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"584,931","144,677","300,955","139,784","88,101","37,331","19,811","527,031","518,531","584,931",0,319,"-3,054","-2,006",100,24.7,51.5,90.1,88.6,100,24.7,51.5,100,0,0,57,55,201,173,57,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110517080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/17/2011 12:00:00 AM,2011 Report Week 20,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"584,612","135,025","293,390","142,419","90,021","38,902","17,224","530,085","520,537","584,612",0,"1,982","4,580","-1,150",100,23.1,50.2,90.7,89,100,23.1,50.2,100,0,0,54,55,201,175,54,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110510080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-10-11 0:00,2011 Report Week 19,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"582,630","128,829","311,037","147,032","87,632","35,048","15,258","525,505","521,687","582,630",0,"14,157","12,484","12,575",100,22.1,53.4,90.2,89.5,100,22.1,53.4,100,0,0,53,54,188,166,53,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110503080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-03-11 0:00,2011 Report Week 18,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"568,473","117,172","297,881","151,921","88,549","33,710","16,677","513,021","509,112","568,473",0,"-29,073","-25,186","-30,761",100,20.6,52.4,90.2,89.6,100,20.6,52.4,100,0,0,50,55,181,168,50,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110426080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/26/2011 12:00:00 AM,2011 Report Week 17,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"597,546","153,872","344,760","157,361","81,585","33,295","17,889","538,207","539,873","597,546",0,"-17,524","-15,476","-15,205",100,25.8,57.7,90.1,90.3,100,25.8,57.7,100,0,0,56,56,178,163,56,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110419080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/19/2011 12:00:00 AM,2011 Report Week 16,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"615,070","164,149","354,751","155,399","82,245","33,813","18,870","553,683","555,078","615,070",0,"-15,510","-9,194","-11,514",100,26.7,57.7,90,90.2,100,26.7,57.7,100,0,0,61,56,185,160,61,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110412080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04-12-11 0:00,2011 Report Week 15,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"630,580","147,387","316,050","149,344","116,351","41,015","15,825","562,877","566,592","630,580",0,"3,965","9,542","-3,098",100,23.4,50.1,89.3,89.9,100,23.4,50.1,100,0,0,58,56,194,167,58,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110405080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04-05-11 0:00,2011 Report Week 14,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"626,615","138,386","328,399","142,847","116,413","42,953","14,338","553,335","569,690","626,615",0,"31,593","25,428","25,169",100,22.1,52.4,88.3,90.9,100,22.1,52.4,100,0,0,53,55,190,170,53,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
110329080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/29/2011 12:00:00 AM,2011 Report Week 13,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"595,022","140,284","328,782","142,227","116,647","46,590","13,475","527,907","544,521","595,022",0,"4,812","2,319",467,100,23.6,55.3,88.7,91.5,100,23.6,55.3,100,0,0,51,54,187,166,51,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
