ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,Contract_Market_Name,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,Open_Interest_Old,Open_Interest_Other,Change_in_Open_Interest_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Prod_Merc_Long_Other,Contract_Units,CFTC_SubGroup_Code,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME
220802080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08-02-22 0:00,2022 Report Week 31,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"760,093","255,565","289,526","129,048","130,316","70,011","16,028","694,895","695,686","760,093",0,"37,624","37,302","36,440",100,33.6,38.1,91.4,91.5,100,33.6,38.1,100,0,0,58,49,199,178,58,49,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220809080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08-09-22 0:00,2022 Report Week 32,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"765,669","270,231","298,748","128,000","130,091","63,763","17,449","697,328","701,871","765,669",0,"5,576","2,433","6,185",100,35.3,39,91.1,91.7,100,35.3,39,100,0,0,57,47,189,173,57,47,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220816080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/16/2022 12:00:00 AM,2022 Report Week 33,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"737,535","253,337","305,683","127,826","137,317","52,326","19,667","668,935","680,802","737,535",0,"-28,134","-28,393","-21,069",100,34.3,41.4,90.7,92.3,100,34.3,41.4,100,0,0,55,52,187,178,55,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220823080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/23/2022 12:00:00 AM,2022 Report Week 34,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"750,335","260,121","311,005","128,424","137,658","58,574","21,468","686,041","688,072","750,335",0,"12,800","17,106","7,270",100,34.7,41.4,91.4,91.7,100,34.7,41.4,100,0,0,59,53,195,180,59,53,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220726080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07/26/2022 12:00:00 AM,2022 Report Week 30,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"722,469","231,591","288,677","130,698","139,368","64,408","17,557","657,593","659,246","722,469",0,"18,855","20,476","7,449",100,32.1,40,91,91.2,100,32.1,40,100,0,0,58,54,196,178,58,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220719080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07/19/2022 12:00:00 AM,2022 Report Week 29,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"703,614","213,285","343,297","125,025","136,855","49,777","17,949","637,117","651,797","703,614",0,"2,470","-1,090","3,680",100,30.3,48.8,90.5,92.6,100,30.3,48.8,100,0,0,58,54,202,161,58,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220712080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07-12-22 0:00,2022 Report Week 28,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"701,144","211,131","324,836","128,608","130,682","52,244","17,743","638,207","648,117","701,144",0,"-12,101","-9,900","-1,733",100,30.1,46.3,91,92.4,100,30.1,46.3,100,0,0,59,52,201,166,59,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220705080732F,SUGAR NO. 11 - ICE FUTURES U.S.,07-05-22 0:00,2022 Report Week 27,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"713,245","210,383","305,336","134,087","124,389","58,169","20,209","648,107","649,850","713,245",0,"-21,079","-19,404","-27,829",100,29.5,42.8,90.9,91.1,100,29.5,42.8,100,0,0,60,51,204,171,60,51,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220628080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/28/2022 12:00:00 AM,2022 Report Week 26,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"734,324","206,354","345,477","136,396","130,150","61,409","11,767","667,511","677,679","734,324",0,"-45,449","-42,022","-50,023",100,28.1,47,90.9,92.3,100,28.1,47,100,0,0,59,52,203,167,59,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220621080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/21/2022 12:00:00 AM,2022 Report Week 25,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"779,773","226,500","411,113","137,859","134,526","55,050","10,897","709,533","727,702","779,773",0,"-21,033","-10,318","-19,672",100,29,52.7,91,93.3,100,29,52.7,100,0,0,59,57,201,164,59,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220614080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06/14/2022 12:00:00 AM,2022 Report Week 24,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"800,806","224,497","406,057","136,066","152,512","47,694","12,002","719,851","747,374","800,806",0,"-49,008","-39,649","-51,219",100,28,50.7,89.9,93.3,100,28,50.7,100,0,0,58,60,205,176,58,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220607080732F,SUGAR NO. 11 - ICE FUTURES U.S.,06-07-22 0:00,2022 Report Week 23,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"849,814","231,260","438,892","131,779","158,643","45,950","17,331","759,500","798,593","849,814",0,"1,351",428,449,100,27.2,51.6,89.4,94,100,27.2,51.6,100,0,0,57,58,213,181,57,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220531080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/31/2022 12:00:00 AM,2022 Report Week 22,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"848,463","224,986","440,755","134,678","159,661","43,505","25,543","759,072","798,144","848,463",0,"1,043","2,621","-4,270",100,26.5,51.9,89.5,94.1,100,26.5,51.9,100,0,0,59,58,215,171,59,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220524080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/24/2022 12:00:00 AM,2022 Report Week 21,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"847,420","222,049","449,540","133,777","161,736","40,929","23,211","756,451","802,414","847,420",0,"22,139","25,627","22,846",100,26.2,53,89.3,94.7,100,26.2,53,100,0,0,58,58,217,172,58,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220517080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05/17/2022 12:00:00 AM,2022 Report Week 20,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"825,281","222,657","442,111","133,219","159,139","38,574","19,930","730,824","779,568","825,281",0,"27,828","19,500","34,818",100,27,53.6,88.6,94.5,100,27,53.6,100,0,0,58,57,211,165,58,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220510080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-10-22 0:00,2022 Report Week 19,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"797,453","207,676","410,308","133,722","151,701","43,239","11,794","711,324","744,750","797,453",0,"-21,174","-22,281","-23,657",100,26,51.5,89.2,93.4,100,26,51.5,100,0,0,57,56,206,164,57,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220503080732F,SUGAR NO. 11 - ICE FUTURES U.S.,05-03-22 0:00,2022 Report Week 18,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"818,627","201,385","424,252","135,705","149,232","40,079","15,657","733,605","768,407","818,627",0,"-27,794","-23,903","-27,577",100,24.6,51.8,89.6,93.9,100,24.6,51.8,100,0,0,57,56,211,167,57,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220426080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/26/2022 12:00:00 AM,2022 Report Week 17,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"846,421","213,154","457,456","134,197","150,920","38,080","15,040","757,508","795,984","846,421",0,"-63,201","-46,549","-64,028",100,25.2,54,89.5,94,100,25.2,54,100,0,0,57,54,206,162,57,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220419080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04/19/2022 12:00:00 AM,2022 Report Week 16,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"909,622","241,415","511,731","134,019","159,173","31,982","21,417","804,057","860,012","909,622",0,"-6,508","-1,228","-7,037",100,26.5,56.3,88.4,94.5,100,26.5,56.3,100,0,0,62,62,224,168,62,62,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220412080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04-12-22 0:00,2022 Report Week 15,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"916,130","244,784","506,634","129,551","169,329","35,626","23,456","805,285","867,049","916,130",0,"56,259","49,165","59,369",100,26.7,55.3,87.9,94.6,100,26.7,55.3,100,0,0,61,57,225,165,61,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220405080732F,SUGAR NO. 11 - ICE FUTURES U.S.,04-05-22 0:00,2022 Report Week 14,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"859,871","240,050","453,317","134,495","161,335","35,903","21,467","756,120","807,680","859,871",0,"40,412","27,329","37,712",100,27.9,52.7,87.9,93.9,100,27.9,52.7,100,0,0,58,54,199,162,58,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220329080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/29/2022 12:00:00 AM,2022 Report Week 13,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"819,459","245,639","434,922","135,148","148,623","40,247","21,915","728,791","769,968","819,459",0,"1,997",25,"2,665",100,30,53.1,88.9,94,100,30,53.1,100,0,0,57,52,195,165,57,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220322080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/22/2022 12:00:00 AM,2022 Report Week 12,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"817,462","252,368","439,526","137,234","144,409","39,626","16,677","728,766","767,303","817,462",0,"-1,415","-2,252","4,829",100,30.9,53.8,89.1,93.9,100,30.9,53.8,100,0,0,62,53,200,158,62,53,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220315080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03/15/2022 12:00:00 AM,2022 Report Week 11,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"818,877","251,861","440,836","140,910","139,971","39,728","11,442","731,018","762,474","818,877",0,"-18,536","-16,518","-24,842",100,30.8,53.8,89.3,93.1,100,30.8,53.8,100,0,0,63,52,202,160,63,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220308080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03-08-22 0:00,2022 Report Week 10,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"837,413","248,611","448,563","142,315","133,219","35,978","17,291","747,536","787,316","837,413",0,"21,202","10,783","29,779",100,29.7,53.6,89.3,94,100,29.7,53.6,100,0,0,65,56,207,158,65,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220301080732F,SUGAR NO. 11 - ICE FUTURES U.S.,03-01-22 0:00,2022 Report Week 09,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"816,211","246,639","386,637","150,108","115,433","39,034","8,982","736,753","757,537","816,211",0,"-41,165","-41,411","-40,687",100,30.2,47.4,90.3,92.8,100,30.2,47.4,100,0,0,60,52,197,160,60,52,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220222080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02/22/2022 12:00:00 AM,2022 Report Week 08,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"857,376","278,024","413,896","149,493","108,927","38,011","11,440","778,164","798,224","857,376",0,"-13,837","-14,919","-10,684",100,32.4,48.3,90.8,93.1,100,32.4,48.3,100,0,0,63,55,200,163,63,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220215080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02/15/2022 12:00:00 AM,2022 Report Week 07,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"871,213","290,702","417,199","149,070","112,961","34,459","12,922","793,083","808,908","871,213",0,"-60,389","-55,258","-57,306",100,33.4,47.9,91,92.8,100,33.4,47.9,100,0,0,62,56,206,175,62,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220208080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02-08-22 0:00,2022 Report Week 06,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"931,602","348,834","448,830","141,078","138,045","38,350","14,151","848,341","866,214","931,602",0,"34,567","30,719","24,685",100,37.4,48.2,91.1,93,100,37.4,48.2,100,0,0,69,62,212,187,69,62,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220201080732F,SUGAR NO. 11 - ICE FUTURES U.S.,02-01-22 0:00,2022 Report Week 05,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"897,035","326,365","437,554","134,541","140,852","40,410","12,448","817,622","841,529","897,035",0,"21,040","17,972","20,190",100,36.4,48.8,91.1,93.8,100,36.4,48.8,100,0,0,68,58,213,182,68,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220125080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01/25/2022 12:00:00 AM,2022 Report Week 04,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"875,995","299,461","433,124","133,934","143,243","46,118","13,961","799,650","821,339","875,995",0,"-6,603","-7,969",-165,100,34.2,49.4,91.3,93.8,100,34.2,49.4,100,0,0,68,58,218,177,68,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220118080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01/18/2022 12:00:00 AM,2022 Report Week 03,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"882,598","302,161","417,297","130,460","142,377","55,515","11,910","807,619","821,504","882,598",0,-411,596,"2,915",100,34.2,47.3,91.5,93.1,100,34.2,47.3,100,0,0,71,58,216,180,71,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220111080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01-11-22 0:00,2022 Report Week 02,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"883,009","293,864","414,151","130,774","144,978","66,583","13,698","807,023","818,589","883,009",0,"9,091","9,334","1,093",100,33.3,46.9,91.4,92.7,100,33.3,46.9,100,0,0,72,56,217,178,72,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
220104080732F,SUGAR NO. 11 - ICE FUTURES U.S.,01-04-22 0:00,2022 Report Week 01,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"873,918","268,844","439,139","128,962","151,461","55,932","14,987","797,689","817,496","873,918",0,"9,656","12,262","7,744",100,30.8,50.2,91.3,93.5,100,30.8,50.2,100,0,0,73,59,218,172,73,59,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211228080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/28/2021 12:00:00 AM,2021 Report Week 52,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"864,262","259,399","445,860","128,804","151,354","54,062","13,839","785,427","809,752","864,262",0,180,"-3,058",-318,100,30,51.6,90.9,93.7,100,30,51.6,100,0,0,70,59,208,164,70,59,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211221080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/21/2021 12:00:00 AM,2021 Report Week 51,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"864,082","259,340","442,719","129,401","156,805","55,371","14,405","788,485","810,070","864,082",0,"-10,914","-1,429","-15,259",100,30,51.2,91.3,93.7,100,30,51.2,100,0,0,72,60,212,167,72,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211214080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12/14/2021 12:00:00 AM,2021 Report Week 50,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"874,996","256,032","470,799","129,513","166,624","50,775","12,538","789,914","825,329","874,996",0,"17,375","13,184","18,549",100,29.3,53.8,90.3,94.3,100,29.3,53.8,100,0,0,71,60,208,158,71,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211207080732F,SUGAR NO. 11 - ICE FUTURES U.S.,12-07-21 0:00,2021 Report Week 49,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"857,621","259,454","452,879","132,587","160,451","57,973","17,823","776,730","806,780","857,621",0,"-24,578","-24,177","-22,059",100,30.3,52.8,90.6,94.1,100,30.3,52.8,100,0,0,70,58,207,158,70,58,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211130080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/30/2021 12:00:00 AM,2021 Report Week 48,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"882,199","250,394","462,229","134,495","165,587","57,240","17,328","800,907","828,839","882,199",0,"-38,294","-23,498","-42,862",100,28.4,52.4,90.8,94,100,28.4,52.4,100,0,0,65,55,206,161,65,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211123080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/23/2021 12:00:00 AM,2021 Report Week 47,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"920,493","237,425","498,095","136,743","172,995","42,689","17,868","824,405","871,701","920,493",0,"14,108","14,972","13,472",100,25.8,54.1,89.6,94.7,100,25.8,54.1,100,0,0,63,54,206,153,63,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211116080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11/16/2021 12:00:00 AM,2021 Report Week 46,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"906,385","231,467","475,327","137,410","169,735","45,439","17,091","809,433","858,229","906,385",0,"8,646","10,296","10,362",100,25.5,52.4,89.3,94.7,100,25.5,52.4,100,0,0,63,55,208,155,63,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211109080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11-09-21 0:00,2021 Report Week 45,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"897,739","227,858","464,459","137,095","161,255","50,741","17,123","799,137","847,867","897,739",0,"13,232","6,794","13,736",100,25.4,51.7,89,94.4,100,25.4,51.7,100,0,0,63,54,204,153,63,54,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211102080732F,SUGAR NO. 11 - ICE FUTURES U.S.,11-02-21 0:00,2021 Report Week 44,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"884,507","225,662","456,832","137,462","157,141","59,713","17,206","792,343","834,131","884,507",0,"9,765","12,558","8,612",100,25.5,51.6,89.6,94.3,100,25.5,51.6,100,0,0,62,53,205,154,62,53,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211026080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10/26/2021 12:00:00 AM,2021 Report Week 43,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"874,742","220,353","449,039","137,670","153,325","55,567","16,698","779,785","825,519","874,742",0,"3,426","-5,712","8,008",100,25.2,51.3,89.1,94.4,100,25.2,51.3,100,0,0,63,53,205,149,63,53,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211019080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10/19/2021 12:00:00 AM,2021 Report Week 42,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"871,316","216,302","448,246","137,628","149,248","51,842","15,559","785,497","817,511","871,316",0,"-20,356","-10,343","-26,815",100,24.8,51.4,90.2,93.8,100,24.8,51.4,100,0,0,64,55,210,155,64,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211012080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10-12-21 0:00,2021 Report Week 41,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"891,672","216,733","487,681","133,947","157,673","46,818","18,952","795,840","844,326","891,672",0,"3,318","-3,877","-1,151",100,24.3,54.7,89.3,94.7,100,24.3,54.7,100,0,0,62,55,213,151,62,55,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
211005080732F,SUGAR NO. 11 - ICE FUTURES U.S.,10-05-21 0:00,2021 Report Week 40,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"888,354","214,509","485,279","134,217","156,582","46,103","18,515","799,717","845,477","888,354",0,"-1,519","-5,209","-2,258",100,24.1,54.6,90,95.2,100,24.1,54.6,100,0,0,65,56,215,154,65,56,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210928080732F,SUGAR NO. 11 - ICE FUTURES U.S.,09/28/2021 12:00:00 AM,2021 Report Week 39,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"889,873","223,918","495,142","132,462","152,962","43,173","18,923","804,926","847,735","889,873",0,"-63,102","-58,800","-56,916",100,25.2,55.6,90.5,95.3,100,25.2,55.6,100,0,0,66,57,210,153,66,57,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210921080732F,SUGAR NO. 11 - ICE FUTURES U.S.,09/21/2021 12:00:00 AM,2021 Report Week 38,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"952,975","274,494","532,743","132,810","164,953","42,716","16,793","863,726","904,651","952,975",0,"-71,840","-65,023","-66,911",100,28.8,55.9,90.6,94.9,100,28.8,55.9,100,0,0,64,61,209,158,64,61,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210914080732F,SUGAR NO. 11 - ICE FUTURES U.S.,09/14/2021 12:00:00 AM,2021 Report Week 37,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"1,024,815","305,449","545,966","131,374","192,719","46,374","14,307","928,749","971,562","1,024,815",0,"-28,147","-36,323","-35,313",100,29.8,53.3,90.6,94.8,100,29.8,53.3,100,0,0,68,60,218,163,68,60,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210907080732F,SUGAR NO. 11 - ICE FUTURES U.S.,09-07-21 0:00,2021 Report Week 36,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"1,052,962","310,206","574,256","131,925","193,607","48,980","15,761","965,072","1,006,875","1,052,962",0,"-6,034","1,292","-4,268",100,29.5,54.5,91.7,95.6,100,29.5,54.5,100,0,0,68,63,234,178,68,63,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210831080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/31/2021 12:00:00 AM,2021 Report Week 35,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"1,058,996","299,126","582,366","133,623","189,178","44,484","15,521","963,780","1,011,143","1,058,996",0,"-4,382","-3,055","-7,050",100,28.2,55,91,95.5,100,28.2,55,100,0,0,68,66,230,176,68,66,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
210824080732F,SUGAR NO. 11 - ICE FUTURES U.S.,08/24/2021 12:00:00 AM,2021 Report Week 34,SUGAR NO. 11,80732,ICUS,NYC,80,SUGAR,"1,063,378","292,143","583,999","134,338","192,917","45,190","14,207","966,835","1,018,193","1,063,378",0,"30,201","29,584","25,803",100,27.5,54.9,90.9,95.8,100,27.5,54.9,100,0,0,67,63,229,174,67,63,0,"(CONTRACTS OF 112,000 POUNDS)",A50,SUGAR,FOODSTUFFS/SOFTS,AGRICULTURE
