"","Point.Forecast","Lo.95","Hi.95"
"Jan 2026",2.07529095841028,0.109509420007449,4.0410724968131
"Feb 2026",1.9271600000068,-0.369009672735321,4.22332967274893
"Mar 2026",1.9271600000068,-0.369009672735321,4.22332967274893
"Apr 2026",1.9271600000068,-0.369009672735321,4.22332967274893
"May 2026",1.9271600000068,-0.369009672735321,4.22332967274893
"Jun 2026",1.92716000000521,-0.369009672736918,4.22332967274733
"Jul 2026",1.59714161266004e-12,-2.29616967274053,2.29616967274372
"Aug 2026",-9.64104340481473e-19,-2.29616967274213,2.29616967274213
"Sep 2026",5.81975001033629e-25,-2.29616967274213,2.29616967274213
"Oct 2026",7.1338128920601e-25,-2.29616967274213,2.29616967274213
"Nov 2026",-1.18179273322294e-18,-2.29616967274213,2.29616967274213
"Dec 2026",1.95776564041741e-12,-2.29616967274017,2.29616967274408
"Jan 2027",2.36230000000638,0.0661303272642577,4.65846967274851
"Feb 2027",2.36230000000834,0.0661303272662144,4.65846967275047
"Mar 2027",2.36230000000834,0.0661303272662148,4.65846967275047
"Apr 2027",2.36230000000834,0.0661303272662148,4.65846967275047
"May 2027",2.36230000000751,0.0661303272653861,4.65846967274964
"Jun 2027",1.36230000000451,-0.933869672737616,3.65846967274664
"Jul 2027",1.12901111211442e-12,-2.296169672741,2.29616967274325
"Aug 2027",-6.81520351813049e-19,-2.29616967274213,2.29616967274213
"Sep 2027",4.1139487883439e-25,-2.29616967274213,2.29616967274213
"Oct 2027",8.80772258422392e-25,-2.29616967274213,2.29616967274213
"Nov 2027",-1.45909354684704e-18,-2.29616967274213,2.29616967274213
"Dec 2027",2.41714399815406e-12,-2.29616967273971,2.29616967274454
