"","Point.Forecast","Lo.95","Hi.95"
"May 2026",160.634088862605,98.3774452867352,222.890732438474
"Jun 2026",130.18079770812,64.7083211923074,195.653274223933
"Jul 2026",145.075349414767,73.7783416826329,216.372357146901
"Aug 2026",230.370876662467,155.246624372765,305.495128952169
"Sep 2026",230.002211397529,154.877959107828,305.126463687231
"Oct 2026",229.809935170464,154.687162422485,304.932707918444
"Nov 2026",223.821330468854,148.700661005583,298.941999932125
"Dec 2026",-4.77129444385826,-79.8908793784925,70.348290490776
"Jan 2027",-4.63316110691931,-79.7425116296851,70.4761894158465
"Feb 2027",-4.63316382117062,-79.7425143407676,70.4761866984264
"Mar 2027",-4.63316683700489,-79.7425173540695,70.4761836800597
"Apr 2027",155.766160253121,80.6568097371565,230.875510769086
"May 2027",207.64233917161,129.99045861535,285.294219727869
"Jun 2027",198.505307765974,120.588839302767,276.421776229182
"Jul 2027",202.961585110041,124.534519836416,281.388650383666
"Aug 2027",226.628536011755,147.844268362131,305.41280366138
"Sep 2027",226.188437255012,147.404169605388,304.972704904637
"Oct 2027",225.969120220912,147.186809663898,304.751430777925
"Nov 2027",218.904803735452,140.125275356563,297.68433211434
"Dec 2027",-7.25043901965275,-86.0285328002819,71.5276547609764
"Jan 2028",-7.08774570969057,-85.8523012967709,71.6768098773897
"Feb 2028",-7.08774890653311,-85.8523044894217,71.6768066763554
"Mar 2028",-7.08775245857978,-85.8523080381183,71.6768031209588
"Apr 2028",189.365527524749,110.600971946665,268.130083102832
