"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2026",31.0711547130344,-28.5257669716821,90.6680763977509,-60.0744715980384,122.216781024107
"Feb 2026",46.4645748084042,-14.5406137575462,107.469763374355,-46.8348098390848,139.763959455893
"Mar 2026",56.9758949736306,-4.09582069078331,118.047610638045,-36.4252340909308,150.377024038192
"Apr 2026",54.7466321632288,-6.328262884464,115.821527210922,-38.6593593484531,148.152623674911
"May 2026",32.7934706460941,-28.2815764294852,93.8685177216734,-60.612753372176,126.199694664364
"Jun 2026",29.9609062675459,-31.114148077707,91.0359606127988,-63.4453288687305,123.367141403822
"Jul 2026",22.5912966197569,-38.4837580731178,83.6663513126316,-70.8149390481613,115.997532287675
"Aug 2026",40.0144029469365,-21.0606517625608,101.089457656434,-53.3918327464038,133.420638640277
"Sep 2026",34.118131508584,-26.9569232017082,95.1931862188762,-59.2881041859719,127.52436720314
"Oct 2026",30.1668402234961,-30.9082144868341,91.2418949338263,-63.2393954711179,123.57307591811
"Nov 2026",53.0839997475751,-7.99105496275694,114.159054457907,-40.3222359470417,146.490235442192
"Dec 2026",37.1406873057243,-23.9343674046078,98.2157420160564,-56.2655483888926,130.546923000341
"Jan 2027",34.1798980775326,-26.8951566327995,95.2549527878647,-59.2263376170843,127.58613377215
"Feb 2027",39.5738032094789,-21.5012515008532,100.648857919811,-53.832432485138,132.980038904096
"Mar 2027",85.2371919160032,24.162137205671,146.312246626335,-8.16904377861378,178.64342761062
"Apr 2027",44.2194990077255,-16.8555557026066,105.294553718058,-49.1867366868915,137.625734702342
"May 2027",33.8587976268035,-27.2162570835286,94.9338523371356,-59.5474380678134,127.26503332142
"Jun 2027",41.3297227890252,-19.745331921307,102.404777499357,-52.0765129055918,134.735958483642
"Jul 2027",37.260503203521,-23.8145515068112,98.3355579138531,-56.145732491096,130.666738898138
"Aug 2027",52.291092399194,-8.78396231113816,113.366147109526,-41.115143295423,145.697328093811
"Sep 2027",50.3157424994868,-10.7593122108453,111.390797209819,-43.0904931951301,143.721978194104
"Oct 2027",58.9746000920228,-2.10045461830931,120.049654802355,-34.4316356025941,152.38083578664
"Nov 2027",70.9039645697891,9.82890985945694,131.979019280121,-22.5022711248279,164.310200264406
"Dec 2027",63.5947127423671,2.51965803203496,124.669767452699,-29.8115229522499,157.000948436984
