"","Point.Forecast","Lo.95","Hi.95"
"Jan 2026",8.16661537619828,7.99292727529745,8.34030347709911
"Feb 2026",8.16663093560761,7.92099888329691,8.41226298791832
"Mar 2026",8.16664667824359,7.86581010116437,8.46748325532281
"Apr 2026",8.16666260412197,7.81928646896849,8.51403873927546
"May 2026",8.16667871325871,7.77830041245653,8.55505701406089
"Jun 2026",8.16669500566992,7.74124792104117,8.59214209029868
"Jul 2026",8.16671148137193,7.70717613882929,8.62624682391458
"Aug 2026",8.16672814038124,7.67546422746675,8.65799205329573
"Sep 2026",8.16674498271452,7.64568095113452,8.68780901429451
"Oct 2026",8.16676200838863,7.61751232965778,8.71601168711948
"Nov 2026",8.16677921742063,7.59072133335537,8.74283710148589
"Dec 2026",8.16679660982775,7.56512381374807,8.76846940590742
"Jan 2027",8.34981432243007,7.72357346483522,8.97605518002493
"Feb 2027",8.349814328842,7.69996376993258,8.99966488775141
"Mar 2027",8.34981433853485,7.67718228006196,9.02244639700774
"Apr 2027",8.34981435150866,7.65514750817086,9.04448119484645
"May 2027",8.34981436776341,7.63379051316282,9.06583822236401
"Jun 2027",8.34981438729915,7.61305235145715,9.08657642314115
"Jul 2027",8.34981441011588,7.59288215783983,9.10674666239193
"Aug 2027",8.34981443621362,7.57323567550095,9.12639319692628
"Sep 2027",8.3498144655924,7.55407411307724,9.14555481810757
"Oct 2027",8.34981449825226,7.53536324395371,9.16426575255082
"Nov 2027",8.34981453419323,7.51707268787315,9.1825563805133
"Dec 2027",8.34981457341545,7.49917533168419,9.20045381514671
