"","Point.Forecast","Lo.95","Hi.95"
"Oct 2026",38.4875254713812,-7.21318821164117,84.1882391544035
"Nov 2026",33.9805332527928,-13.7687239629415,81.7297904685271
"Dec 2026",22.9969363163407,-25.1626506750756,71.156523307757
"Jan 2027",16.8789176071415,-31.0384411304202,64.7962763447031
"Feb 2027",25.0763179878775,-22.8618565014345,73.0144924771895
"Mar 2027",-1.88477199564903,-49.8275349388132,46.0579909475151
"Apr 2027",28.020886610202,-19.9228879828445,75.9646612032485
"May 2027",42.9766977631738,-4.96729988631208,90.9206954126596
"Jun 2027",-2.04408376795773,-49.9881305987842,45.8999630628687
"Jul 2027",-2.05384247184071,-49.9979001467456,45.8902152030642
"Aug 2027",9.19157506794811,-38.7524849979614,57.1356351338576
"Sep 2027",27.9393492946952,-20.0047112984042,75.8834098877946
"Oct 2027",28.4071315221121,-19.5369291872128,76.3511922314371
"Nov 2027",20.4379567019301,-27.5061040329551,68.3820174368152
"Dec 2027",10.3127593355707,-37.6313014046492,58.2568200757906
"Jan 2028",28.4064193772004,-19.5376413628305,76.3504801172313
"Feb 2028",42.8127706927751,-5.13129004102224,90.7568314265725
"Mar 2028",-2.18700910252597,-50.1310698068668,45.7570516018149
"Apr 2028",28.2822041579892,-19.6618564124941,76.2262647284725
"May 2028",9.06457923980457,-38.8794807235272,57.0086392031364
"Jun 2028",-1.05809809395449,-49.0021553036149,46.8859591157059
"Jul 2028",42.6968494262629,-5.24719529446597,90.6408941469918
"Aug 2028",0.0198904298341365,-47.9240976488899,47.9638785085582
"Sep 2028",30.5110634804462,-17.432667704711,78.4547946656034
