"","Point.Forecast","Lo.95","Hi.95"
"Apr 2026",63.9327624533221,52.9062131660324,74.9593117406118
"May 2026",77.6177301843354,64.216358807229,91.0191015614418
"Jun 2026",85.6471126969495,71.2500469151196,100.04417847878
"Jul 2026",71.0837323420773,56.2351512441866,85.932313439968
"Aug 2026",66.6233104154686,51.56417942694,81.6824414039972
"Sep 2026",66.0063997948205,50.8480759237393,81.1647236659016
"Oct 2026",69.8498995722864,54.6449710691915,85.0548280753814
"Nov 2026",72.6641875442401,57.4381100903061,87.890264998174
"Dec 2026",50.986113470289,35.7521286189822,66.2200983215957
"Jan 2027",-0.000166822948641542,-15.233368687658,15.2330350417607
"Feb 2027",-0.000185698978329097,-15.2358192988013,15.2354479008446
"Mar 2027",-0.000230286288164055,-15.237024013994,15.2365634414177
"Apr 2027",74.674784466961,59.4374372333719,89.9121317005502
"May 2027",77.8495601332864,62.6119488100611,93.0871714565117
"Jun 2027",78.0145657369485,62.7768284090903,93.2523030648066
"Jul 2027",72.7741198415968,57.5363223929719,88.0119172902216
"Aug 2027",70.8121675652469,55.5743414310558,86.049993699438
"Sep 2027",68.5305056944819,53.2926658735403,83.7683455154234
"Oct 2027",66.2042015247178,50.9663551735579,81.4420478758776
"Nov 2027",67.9333682756975,52.6955188091383,83.1712177422568
"Dec 2027",62.0222221044741,46.7843711522856,77.2600730566626
"Jan 2028",-0.000297110347038404,-15.2381487696459,15.2375545489518
"Feb 2028",-0.000279598102038082,-15.2381315911394,15.2375723949353
"Mar 2028",-0.000300797919180984,-15.2381529425735,15.2375513467351
