"","Point.Forecast","Lo.95","Hi.95"
"Jan 2022",23.3333,21.7113951618833,24.9552048381166
"Feb 2022",23.3333,21.0395801810527,25.6270198189473
"Mar 2022",23.3333,20.5240784153095,26.1425215846905
"Apr 2022",23.3333,20.0894903237372,26.5771096762628
"May 2022",23.3333,19.7066105289169,26.9599894710831
"Jun 2022",23.3333,19.3604607352604,27.3061392647396
"Jul 2022",23.3333,19.0421431480695,27.6244568519305
"Aug 2022",23.3333,18.7458603620867,27.9207396379133
"Sep 2022",23.3333,18.4675854856078,28.1990145143922
"Oct 2022",23.3333,18.2043865634497,28.4622134365503
"Nov 2022",23.3333,17.9540502062765,28.7125497937235
"Dec 2022",23.3333,17.7148568306395,28.9517431693605
"Jan 2023",24.1667,18.3188389422138,30.0145610577863
"Feb 2023",24.1667,18.0980877817715,30.2353122182285
"Mar 2023",24.1667,17.8850895727846,30.4483104272154
"Apr 2023",24.1667,17.6790806474862,30.6543193525138
"May 2023",24.1667,17.4794150376875,30.8539849623125
"Jun 2023",24.1667,17.2855405431178,31.0478594568822
"Jul 2023",24.1667,17.0969807145537,31.2364192854463
"Aug 2023",24.1667,16.9133210578074,31.4200789421926
"Sep 2023",24.1667,16.7341983092445,31.5992016907555
"Oct 2023",24.1667,16.5592919863122,31.7741080136878
"Nov 2023",24.1667,16.3883176494945,31.9450823505055
"Dec 2023",24.1667,16.2210214704649,32.1123785295351
"Jan 2024",24.9167,16.8071758093471,33.0262241906529
"Feb 2024",24.9167,16.6465755812093,33.1868244187907
"Mar 2024",24.9167,16.4890352459644,33.3443647540357
"Apr 2024",24.9167,16.3343862961976,33.4990137038024
"May 2024",24.9167,16.1824751451829,33.6509248548171
"Jun 2024",24.9167,16.033161340291,33.800238659709
"Jul 2024",24.9167,15.8863160423663,33.9470839576337
"Aug 2024",24.9167,15.7418207241671,34.0915792758329
"Sep 2024",24.9167,15.5995660506485,34.2338339493515
"Oct 2024",24.9167,15.4594509108622,34.3739490891378
"Nov 2024",24.9167,15.3213815770383,34.5120184229617
"Dec 2024",24.9167,15.1852709712254,34.6481290287746
"Jan 2025",24.7497,14.8840380229227,34.6153619770773
"Feb 2025",24.7497,14.7516071043579,34.7477928956421
"Mar 2025",24.7497,14.6209075322952,34.8784924677049
"Apr 2025",24.7497,14.4918731269348,35.0075268730652
"May 2025",24.7497,14.3644418201701,35.1349581798299
"Jun 2025",24.7497,14.2385553065963,35.2608446934037
"Jul 2025",24.7497,14.1141587317047,35.3852412682953
"Aug 2025",24.7497,13.9912004125316,35.5081995874684
"Sep 2025",24.7497,13.869631586727,35.629768413273
"Oct 2025",24.7497,13.7494061865855,35.7499938134145
"Nov 2025",24.7497,13.630480635072,35.868919364928
"Dec 2025",24.7497,13.512813661279,35.986586338721
