"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2023",19.8402570455918,8.46628276194996,31.2142313292336,2.44526447847693,37.2352496127066
"Feb 2023",8.27777895298222,-3.78459907141815,20.3401569773826,-10.1700362823614,26.7255941883258
"Mar 2023",5.68284751822878,-6.37953050617158,17.7452255426291,-12.7649677171148,24.1306627535724
"Apr 2023",9.23127489697163,-2.83110312742873,21.293652921372,-9.21654033837196,27.6790901323152
"May 2023",9.23740597043138,-2.82497205396898,21.2997839948317,-9.21040926491221,27.685221205775
"Jun 2023",3.24050510940433,-8.82187291499603,15.3028831338047,-15.2073101259393,21.6883203447479
"Jul 2023",7.7518307925593,-4.31054723184107,19.8142088169597,-10.6959844427843,26.1996460279029
"Aug 2023",4.20198601319891,-7.86039201120145,16.2643640375993,-14.2458292221447,22.6498012485425
"Sep 2023",9.11608505991211,-2.94629296448825,21.1784630843125,-9.33173017543148,27.5639002952557
"Oct 2023",4.51796558475664,-7.54441243964372,16.580343609157,-13.929849650587,22.9657808201002
"Nov 2023",7.51943643385453,-4.54294159054583,19.5818144582549,-10.9283788014891,25.9672516691981
"Dec 2023",7.52028788080813,-4.54209014359223,19.5826659052085,-10.9275273545355,25.9681031161517
"Jan 2024",7.8172271192623,-4.24515090513807,19.8796051436627,-10.6305881160813,26.2650423546059
"Feb 2024",7.82707171993357,-4.23530630446679,19.8894497443339,-10.62074351541,26.2748869552772
"Mar 2024",7.83597706639523,-4.22640095800513,19.8983550907956,-10.6118381689484,26.2837923017388
"Apr 2024",18.8440383916653,6.78166036726498,30.9064164160657,0.396223156321753,37.2918536270089
"May 2024",12.8513382857806,0.788960261380222,24.9137163101809,-5.59647694956301,31.2991535211242
"Jun 2024",10.8579481636103,-1.20442986079011,22.9203261880106,-7.58986707173333,29.3057633989538
"Jul 2024",2.00318706296715,-10.0591909614332,14.0655650873675,-16.4446281723764,20.4510022983107
"Aug 2024",6.00859246648577,-6.0537855579146,18.0709704908861,-12.4392227688578,24.4564077018294
"Sep 2024",49.0134665006521,36.9510884762518,61.0758445250525,30.5656512653085,67.4612817359957
"Oct 2024",20.4477999541719,3.86864875127606,37.0269511570677,-4.90782374881273,45.8034236571565
"Nov 2024",8.87209494596018,-8.186683650618,25.9308735425384,-17.2170555560157,34.9612454479361
"Dec 2024",6.26757182375873,-10.7912067728194,23.3263504203369,-19.8215786782172,32.3567223257347
"Jan 2025",10.5205007033252,-6.538277893253,27.5792792999034,-15.5686497986507,36.6096512053011
"Feb 2025",10.51681705981,-6.54196153676818,27.5755956563882,-15.5723334421659,36.6059675617859
"Mar 2025",4.51310295187799,-12.5456756447002,21.5718815484562,-21.5760475500979,30.6022534538539
"Apr 2025",8.97133727996867,-8.0874413166095,26.0301158765468,-17.1178132220072,35.0604877819446
"May 2025",5.41349425748651,-11.6452843390917,22.4722728540647,-20.6756562444894,31.5026447594624
"Jun 2025",10.3205430531207,-6.73823554345751,27.3793216496988,-15.7686074488553,36.4096935550966
"Jul 2025",5.64472932711938,-11.4140492694588,22.7035079236976,-20.4444211748565,31.7338798290953
"Aug 2025",8.63492477551328,-8.4238538210649,25.6937033720915,-17.4542257264626,34.7240752774892
"Sep 2025",8.62586880456959,-8.43290979200858,25.6846474011478,-17.4632816974063,34.7150193065455
"Oct 2025",8.61740453242202,-8.44137406415615,25.6761831290002,-17.4717459695539,34.7065550343979
"Nov 2025",8.60938560457619,-8.44939299200199,25.6681642011544,-17.4797648973997,34.6985361065521
"Dec 2025",8.60167312388491,-8.45710547269327,25.6604517204631,-17.487477378091,34.6908236258608
"Jan 2026",18.3295281918176,1.27074959523938,35.3883067883957,-7.75962231015836,44.4186786937935
"Feb 2026",12.3258284827839,-4.73295011379427,29.3846070793621,-13.763322019192,38.4149789847598
"Mar 2026",10.3225927695099,-6.73618582706832,27.381371366088,-15.7665577324661,36.4117432714858
"Apr 2026",1.31975829883562,-15.7390202977426,18.3785368954138,-24.7693922031403,27.4089088008115
"May 2026",5.31727064292072,-11.7415079536575,22.3760492394989,-20.7718798590552,31.4064211448966
"Jun 2026",48.3150825322887,31.2563039357105,65.3738611288669,22.2259320303128,74.4042330342646
"Jul 2026",19.6797913295385,-0.823116225538151,40.1826988846151,-11.6766998696491,51.0362825287261
"Aug 2026",8.09846289313418,-12.7941887052295,28.9911144914979,-23.8540903831241,40.0510161693925
"Sep 2026",5.48894699588137,-15.4037046024824,26.3815985942451,-26.4636062803769,37.4415002721397
"Oct 2026",9.02659481107218,-11.8660567872915,29.9192464094359,-22.9259584651861,40.9791480873305
"Nov 2026",9.0253820860692,-11.8672695122945,29.9180336844329,-22.9271711901891,40.9779353623275
"Dec 2026",3.02428731160825,-17.8683642867555,23.916938909972,-28.9282659646501,34.9768405878666
