"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2023",14.1761354482383,13.3008522660257,15.0514186304509,12.8375053380396,15.514765558437
"Feb 2023",16.5477913633692,15.6632588824699,17.4323238442686,15.1950156715212,17.9005670552173
"Mar 2023",14.4244738575286,13.3583692739589,15.4905784410984,12.7940075979351,16.0549401171222
"Apr 2023",15.3343311682622,14.2591455348919,16.4095168016324,13.6899766414858,16.9786856950385
"May 2023",14.3945248742079,13.2744410274321,15.5146087209836,12.6815044555463,16.1075452928694
"Jun 2023",14.7279468553412,13.6025271114079,15.8533665992744,13.0067658861914,16.4491278244909
"Jul 2023",14.3035054608213,13.165288977134,15.4417219445086,12.5627535670894,16.0442573545532
"Aug 2023",14.4158030516767,13.2750392524174,15.5565668509359,12.6711553749637,16.1604507283896
"Sep 2023",14.2196725028174,13.0750086415687,15.364336364066,12.469060196009,15.9702848096258
"Oct 2023",16.2328100105452,15.0870562246089,17.3785637964815,14.4805308077718,17.9850892133186
"Nov 2023",14.1036608246628,12.9566677804698,15.2506538688557,12.3494863399389,15.8578353093866
"Dec 2023",16.3089418553935,15.1615116067456,17.4563721040413,14.5540987241567,18.0637849866302
"Jan 2024",14.9159987827716,13.6978263490339,16.1341712165092,13.0529648157609,16.7790327497822
"Feb 2024",15.938148997255,14.7176799034022,17.1586180911077,14.0716025917039,17.8046954028061
"Mar 2024",14.997185033447,13.7460975410485,16.2482725258454,13.0838118282358,16.9105582386582
"Apr 2024",15.3863259718574,14.1331481342991,16.6395038094156,13.4697558596011,17.3028960841136
"May 2024",14.9683275630183,13.7066590356369,16.2299960903997,13.0387720612508,16.8978830647857
"Jun 2024",15.1091487004136,13.8462969461734,16.3720004546539,13.177783609324,17.0405137915033
"Jul 2024",14.9196633952545,13.6542997643776,16.1850270261315,12.9844567203582,16.8548700701508
"Aug 2024",14.9660232542367,13.7001079826294,16.2319385258441,13.029972917647,16.9020735908264
"Sep 2024",14.8782094989763,13.6115151304494,16.1449038675032,12.9409676364708,16.8154513614818
"Oct 2024",15.7880902865251,14.5211635453854,17.0550170276649,13.8504930407761,17.7256875322742
"Nov 2024",14.8477431732506,13.5805664421799,16.1149199043212,12.909763600895,16.7857227456061
"Dec 2024",16.3463603500282,15.0790913696239,17.6136293304325,14.4082396944916,18.2844810055648
"Jan 2025",15.8113838820882,14.511785352018,17.1109824121585,13.8238194470852,17.7989483170912
"Feb 2025",16.5511644159068,15.2506297076212,17.8516991241923,14.5621682198772,18.5401606119364
"Mar 2025",15.8776077677226,14.5626184139609,17.1925971214843,13.8665050991138,17.8887104363313
"Apr 2025",16.1602859733037,14.8443702350075,17.4762017115998,14.1477665218106,18.1728054247967
"May 2025",15.8616666882354,14.541721529255,17.1816118472158,13.8429847695955,17.8803486068753
"Jun 2025",15.9646651306685,14.6441811085893,17.2851491527477,13.9451590920363,17.9841711693007
"Jul 2025",15.8296252634418,14.5079501560608,17.1513003708229,13.8082976170361,17.8509529098476
"Aug 2025",15.8640288653386,14.542099410832,17.1859583198453,13.8423122285721,17.8857455021051
"Sep 2025",15.8015788082681,14.4792806151384,17.1238770013979,13.7792982344425,17.8238593820938
"Oct 2025",15.8110608193296,14.4886547732683,17.1334668653908,13.7886152986792,17.8335063399799
"Nov 2025",15.7815038248911,14.458979408725,17.1040282410573,13.7588772727875,17.8041303769948
"Dec 2025",15.7827374807959,14.4601700818682,17.1053048797236,13.7600451922311,17.8054297693607
"Jan 2026",16.465804331073,15.1431978627573,17.7884107993887,14.4430522910356,18.4885563711103
"Feb 2026",16.4664298386776,15.1438068854743,17.7890527918808,14.4436525871802,18.4892070901749
"Mar 2026",16.4609054620733,15.138269342332,17.7835415818147,14.4381080740937,18.483702850053
"Apr 2026",16.4611204293744,15.1384781417034,17.7837627170455,14.4383136083603,18.4839272503885
"May 2026",16.4589648886678,15.1363180954418,17.7816116818938,14.436151177002,18.4817786003336
"Jun 2026",16.4593231008237,15.1366740372282,17.7819721644192,14.4365059169274,18.48214028472
"Jul 2026",16.4587856002092,15.1361349776614,17.781436222757,14.4359660321011,18.4816051683173
"Aug 2026",16.4593503363739,15.1366988872468,17.782001785501,14.4365295041218,18.482171168626
"Sep 2026",16.4595780960844,15.1369261032567,17.782230088912,14.4367564323141,18.4823997598546
"Oct 2026",16.4602816535343,15.1376293620096,17.7829339450591,14.4374595329463,18.4831037741224
"Nov 2026",16.4608506438114,15.138198161595,17.7835031260279,14.4380282315856,18.4836730560373
"Dec 2026",16.4616135561083,15.1389609665034,17.7842661457131,14.438790979646,18.4844361325705
