"","Point.Forecast","Lo.95","Hi.95"
"Jan 2023",156.926852853745,109.684042029994,204.169663677496
"Feb 2023",520.131308313342,472.888497489591,567.374119137094
"Mar 2023",594.014756965576,546.771946141825,641.257567789328
"Apr 2023",514.537652150785,467.294841327034,561.780462974537
"May 2023",313.263170708625,266.020359884873,360.505981532376
"Jun 2023",267.691981550853,220.449170727102,314.934792374604
"Jul 2023",55.2278279158633,7.98501709211195,102.470638739615
"Aug 2023",4.08940314863773,-43.1534076751137,51.3322139723891
"Sep 2023",0,-47.2428108237514,47.2428108237514
"Oct 2023",0,-47.2428108237514,47.2428108237514
"Nov 2023",0,-47.2428108237514,47.2428108237514
"Dec 2023",0,-47.2428108237514,47.2428108237514
"Jan 2024",135.124737823367,87.8819269974563,182.367548649278
"Feb 2024",485.819725242599,438.576914416688,533.06253606851
"Mar 2024",528.114915420024,480.872104594113,575.357726245935
"Apr 2024",484.728201013058,437.485390187147,531.971011838969
"May 2024",253.992957530955,206.750146705044,301.235768356866
"Jun 2024",242.47487253001,195.232061704099,289.717683355921
"Jul 2024",57.3924393223888,10.1496284964778,104.6352501483
"Aug 2024",0,-47.242810825911,47.242810825911
"Sep 2024",0,-47.242810825911,47.242810825911
"Oct 2024",0,-47.242810825911,47.242810825911
"Nov 2024",0,-47.242810825911,47.242810825911
"Dec 2024",0,-47.242810825911,47.242810825911
"Jan 2025",194.627280372875,147.244049569181,242.01051117657
"Feb 2025",491.739131604259,444.355900800565,539.122362407954
"Mar 2025",620.303172467358,572.919941663663,667.686403271052
"Apr 2025",563.457576293177,516.074345489483,610.840807096871
"May 2025",379.326318389872,331.943087586178,426.709549193566
"Jun 2025",170.345328994637,122.962098190943,217.728559798331
"Jul 2025",36.3082024300897,-11.0750283736046,83.6914332337839
"Aug 2025",1.48862638831771,-45.8946044153766,48.871857192012
"Sep 2025",0,-47.3832308036943,47.3832308036943
"Oct 2025",0,-47.3832308036943,47.3832308036943
"Nov 2025",0,-47.3832308036943,47.3832308036943
"Dec 2025",0,-47.3832308036943,47.3832308036943
"Jan 2026",154.154978038984,106.771747235277,201.538208842691
"Feb 2026",393.711640819349,346.328410015642,441.094871623057
"Mar 2026",433.756524300968,386.373293497261,481.139755104675
"Apr 2026",477.115307757329,429.732076953621,524.498538561036
"May 2026",408.997846075329,361.614615271622,456.381076879036
"Jun 2026",231.782027568735,184.398796765028,279.165258372442
"Jul 2026",179.081978604455,131.698747800748,226.465209408162
"Aug 2026",0,-47.3832308037071,47.3832308037071
"Sep 2026",0,-47.3832308037071,47.3832308037071
"Oct 2026",0,-47.3832308037071,47.3832308037071
"Nov 2026",0,-47.3832308037071,47.3832308037071
"Dec 2026",0,-47.3832308037071,47.3832308037071
