"","Point.Forecast","Lo.98","Hi.98"
"Jan 2023",18.2203827669278,17.7871152775339,18.6536502563218
"Feb 2023",18.215905717902,17.6138053749643,18.8180060608398
"Mar 2023",18.2115854412122,17.486808870235,18.9363620121895
"Apr 2023",18.2074164471787,17.3846910437142,19.0301418506431
"May 2023",18.2033934383531,17.2989469115708,19.1078399651354
"Jun 2023",18.1995113027874,17.2251099464695,19.1739126591054
"Jul 2023",18.1957651075382,17.1604638009577,19.2310664141188
"Aug 2023",18.1921500923982,17.1031973059469,19.2811028788495
"Sep 2023",18.1886616638479,17.0520238201271,19.3252995075687
"Oct 2023",18.1852953892185,17.0059860015883,19.3646047768487
"Nov 2023",18.1820469910596,16.9643459761254,19.3997480059938
"Dec 2023",18.1789123417036,16.9265190873361,19.4313055960711
"Jan 2024",17.8167947437308,16.5329389773583,19.1006505101033
"Feb 2024",17.8138757820694,16.5014003459875,19.1263512181513
"Mar 2024",17.8110590333692,16.472483266132,19.1496348006063
"Apr 2024",17.80834091845,16.4459102328169,19.1707716040831
"May 2024",17.8057179834637,16.4214433609155,19.1899926060118
"Jun 2024",17.8031868955048,16.398876847543,19.2074969434666
"Jul 2024",17.8007444383761,16.3780312285514,19.2234576482008
"Aug 2024",17.7983875085014,16.3587489259309,19.238026091072
"Sep 2024",17.7961131109824,16.340890742754,19.2513354792107
"Oct 2024",17.7939183557924,16.3243330660743,19.2635036455106
"Nov 2024",17.7918004541049,16.3089656072461,19.2746353009637
"Dec 2024",17.789756714749,16.2946895560976,19.2848238734005
"Jan 2025",17.7877845407906,16.281416057965,19.2941530236163
"Feb 2025",17.785881426232,16.2690649456016,19.3026979068624
"Mar 2025",17.7840449528276,16.2575636744791,19.3105262311762
"Apr 2025",17.7822727870116,16.2468464220199,19.3176991520032
"May 2025",17.7805626769321,16.2368533201715,19.3242720336926
"Jun 2025",17.7789124495901,16.2275297973636,19.3302951018166
"Jul 2025",17.7773200080785,16.218826010904,19.3358140052529
"Aug 2025",17.775783328917,16.2106963546957,19.3408703031383
"Sep 2025",17.7743004594816,16.2030990301147,19.3455018888486
"Oct 2025",17.7728695155231,16.1959956701897,19.3497433608565
"Nov 2025",17.7714886787726,16.1893510090301,19.3536263485151
"Dec 2025",17.7701561946315,16.1831325898824,19.3571797993807
"Jan 2026",18.3794227771287,16.7878629135222,19.9709826407352
"Feb 2026",18.3781819780215,16.7824095792984,19.9739543767446
"Mar 2026",18.3769846278409,16.7772995228129,19.9766697328689
"Apr 2026",18.3758292051406,16.772509203282,19.9791492069993
"May 2026",18.3747142417506,16.768016845662,19.9814116378393
"Jun 2026",18.3736383209117,16.7638022921023,19.9834743497211
"Jul 2026",18.3726000754751,16.7598468679376,19.9853532830126
"Aug 2026",18.3715981861653,16.7561332605208,19.9870631118098
"Sep 2026",18.3706313799039,16.7526454094376,19.9886173503703
"Oct 2026",18.3696984281916,16.7493684068354,19.9900284495479
"Nov 2026",18.3687981455474,16.7462884067721,19.9913078843226
"Dec 2026",18.367929388002,16.7433925426243,19.9924662333797
