"","Point.Forecast","Lo.95","Hi.95"
"Jan 2023",167.209651175765,68.4908078756617,265.928494475868
"Feb 2023",476.845849100053,374.36056879017,579.331129409937
"Mar 2023",551.491085526657,448.718703574128,654.263467479187
"Apr 2023",563.380607952408,460.585934001165,666.175281903651
"May 2023",381.852047253269,279.055640034003,484.648454472535
"Jun 2023",244.04392427477,141.247382274326,346.840466275214
"Jul 2023",109.764918140628,6.9683656593358,212.561470621919
"Aug 2023",18.3862502696886,-84.410303026615,121.182803565992
"Sep 2023",7.97983391286824e-16,-102.796553359681,102.796553359681
"Oct 2023",2.95584411170051e-16,-102.796553364609,102.796553364609
"Nov 2023",7.96926861612862e-17,-102.796553364992,102.796553364992
"Dec 2023",1.79509539539273e-16,-102.796553365022,102.796553365022
"Jan 2024",167.600146950502,55.847023349596,279.353270551408
"Feb 2024",492.538062701278,380.118356311205,604.957769091351
"Mar 2024",571.289973530334,458.818597872564,683.761349188105
"Apr 2024",571.926383845819,459.450991276654,684.401776414983
"May 2024",370.753189456004,258.277484529753,483.228894382255
"Jun 2024",248.293582456341,135.817853240611,360.76931167207
"Jul 2024",96.2282328713023,-16.2474982332254,208.70396397583
"Aug 2024",19.243420313163,-93.2323109382415,131.719151564567
"Sep 2024",5.20427635130535e-16,-112.475731262826,112.475731262826
"Oct 2024",2.23620952401711e-16,-112.475731263714,112.475731263714
"Nov 2024",6.07949219173204e-17,-112.475731263783,112.475731263783
"Dec 2024",-9.19645205469722e-18,-112.475731263788,112.475731263788
"Jan 2025",164.621747269274,39.9790698494679,289.26442468908
"Feb 2025",493.88001382227,368.340613765879,619.419413878661
"Mar 2025",569.377804300568,443.768941550791,694.986667050344
"Apr 2025",560.406640800428,434.792378101717,686.020903499138
"May 2025",361.903839692297,236.289157092439,487.518522292156
"Jun 2025",252.401958810849,126.787243558693,378.016674063005
"Jul 2025",95.4415808801134,-30.1731369111507,221.056298671378
"Aug 2025",14.9234740782046,-110.691243910506,140.538192066915
"Sep 2025",2.98383030205504e-16,-125.614718004064,125.614718004064
"Oct 2025",1.48665587676497e-16,-125.614718005258,125.614718005258
"Nov 2025",3.98140178054878e-17,-125.614718005351,125.614718005351
"Dec 2025",5.40550029012228e-17,-125.614718005358,125.614718005358
"Jan 2026",166.195952467976,27.1187740175652,305.273130918387
"Feb 2026",489.853707952088,349.783871682501,629.923544221674
"Mar 2026",566.302171304444,426.155438598392,706.448904010496
"Apr 2026",565.024628158645,424.871917599197,705.177338718093
"May 2026",369.143682596412,228.990507197761,509.296857995062
"Jun 2026",249.229582716969,109.076371171553,389.382794262385
"Jul 2026",98.7085847309129,-41.444629625348,238.861799087174
"Aug 2026",17.1459563007244,-123.007258274113,157.299170875562
"Sep 2026",5.20427635130535e-16,-140.153214591835,140.153214591835
"Oct 2026",2.16695943527486e-16,-140.153214593156,140.153214593156
"Nov 2026",5.85842157714125e-17,-140.153214593259,140.153214593259
"Dec 2026",5.92170077579106e-17,-140.153214593267,140.153214593267
