"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2023",85.9558716273806,-13.7763986699435,185.688141924705,-66.5714734553766,238.483216710138
"Feb 2023",77.6648185057153,-24.8350491806256,180.164686192056,-79.0952015251427,234.424838536573
"Mar 2023",58.9314790717893,-43.7219055717251,161.584863715304,-98.0633248844024,215.926283027981
"Apr 2023",78.5057128247922,-24.1563034902881,181.167729139873,-78.50229213388,235.513717783464
"May 2023",85.0739723454794,-17.5885296575151,187.736474348474,-71.934775408758,242.082720099717
"Jun 2023",130.923193350175,28.2606640172906,233.58572268306,-26.0855962015223,287.931982901873
"Jul 2023",148.404372058187,45.7418411874324,251.066902928941,-8.60441984547947,305.413163961853
"Aug 2023",110.834484256395,8.17195329910369,213.497015213686,-46.174307779618,267.843276292407
"Sep 2023",63.0693385602027,-39.5931924019579,165.731869522363,-93.9394534832573,220.078130603663
"Oct 2023",75.7171729092736,-26.9453580531609,178.379703871708,-81.2916191346054,232.725964953153
"Nov 2023",154.552374879118,51.8898439166683,257.214905841568,-2.45641716478431,311.561166923021
"Dec 2023",181.588673277924,78.9261423154727,284.251204240374,24.5798812340196,338.597465321828
"Jan 2024",49.6566829139333,-53.0058480485176,152.319213876384,-107.352109129971,206.665474957837
"Feb 2024",59.7243005525861,-42.9382304098648,162.386831515037,-97.2844914913179,216.73309259649
"Mar 2024",8.96146405007642,-93.7010669123745,111.623995012527,-148.047327993828,165.97025609398
"Apr 2024",70.2246798676487,-32.4378510948022,172.8872108301,-86.7841121762553,227.233471911553
"May 2024",82.6472997200921,-20.0152312423587,185.309830682543,-74.3614923238119,239.656091763996
"Jun 2024",161.351831218587,58.6893002561358,264.014362181038,4.34303917468264,318.360623262491
"Jul 2024",140.112800312913,37.4502693504625,242.775331275364,-16.8959917309907,297.121592356817
"Aug 2024",159.323304667401,56.66077370495,261.985835629852,2.31451262349691,316.332096711305
"Sep 2024",29.6903758171337,-72.9721551453171,132.352906779585,-127.31841622677,186.699167861038
"Oct 2024",65.2060039731242,-37.4565269893266,167.868534935575,-91.8027880707798,222.214796017028
"Nov 2024",169.481168842703,66.8186378802524,272.143699805154,12.4723767987993,326.489960886607
"Dec 2024",168.219423300973,65.5568923385221,270.881954263424,11.210631257069,325.228215344877
"Jan 2025",70.9484958375217,-48.8775743953765,190.77456607042,-112.309664333072,254.206656008115
"Feb 2025",65.4413708263309,-55.2780031465038,186.160744799165,-119.182979519206,250.065721171868
"Mar 2025",35.1841019706814,-85.5853423878115,155.953546329174,-149.516824421595,219.885028362958
"Apr 2025",67.5243742220327,-53.2478870110285,188.296635455094,-117.180860208134,252.2296086522
"May 2025",74.1203741889235,-46.6520455494543,194.892793927301,-110.585102654206,258.825851032053
"Jun 2025",129.742115033824,8.96968637626101,250.514543691388,-54.9633754500225,314.447605517671
"Jul 2025",140.725030917597,19.9526017581457,261.497460077049,-43.9804603338213,325.430522169016
"Aug 2025",113.267739738727,-7.50468944896612,234.04016892642,-71.4377515558833,297.973231033337
"Sep 2025",46.0409265586069,-74.7315026306754,166.813355747889,-138.664564738434,230.746417855648
"Oct 2025",70.3079001911128,-50.4645289982589,191.080329380484,-114.397591106065,255.01339148829
"Nov 2025",166.924989931374,46.1525607419969,287.69741912075,-17.7805013658116,351.630481228559
"Dec 2025",160.631802332552,39.8593731431749,281.404231521929,-24.0736889646337,345.337293629737
"Jan 2026",37.9251494216693,-82.8472797677078,158.697578611046,-146.780341875516,222.630640718855
"Feb 2026",49.4885581953558,-71.2838709940212,170.260987384733,-135.21693310183,234.194049492541
"Mar 2026",-7.07031792722586,-127.842747116603,113.702111262151,-191.775809224411,177.63517336996
"Apr 2026",57.6417123261877,-63.1307168631893,178.414141515565,-127.063778970998,242.347203623373
"May 2026",72.8210575442648,-47.9513716451122,193.593486733642,-111.884433752921,257.52654884145
"Jun 2026",152.018279535451,31.2458503460741,272.790708724828,-32.6872117617345,336.723770832637
"Jul 2026",125.544674970419,4.77224578104175,246.317104159796,-59.1608163267668,310.250166267604
"Aug 2026",137.427887420458,16.655458231081,258.200316609835,-47.2776038767276,322.133378717644
"Sep 2026",17.1846169686111,-103.587812220766,137.957046157988,-167.520874328574,201.890108265797
"Oct 2026",52.5039638562653,-68.2684653331117,173.276393045642,-132.20152744092,237.209455153451
"Nov 2026",153.250832835011,32.4784036456344,274.023262024388,-31.4546584621742,337.956324132197
"Dec 2026",162.916912059952,42.1444828705746,283.689341249329,-21.788579237234,347.622403357137
