"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2023",13.9804481425347,13.1612110026435,14.7996852824259,12.7275330572942,15.2333632277752
"Feb 2023",15.4066823964159,14.5842191403103,16.2291456525214,14.1488333921977,16.664531400634
"Mar 2023",14.1418771504186,13.2124804801281,15.071273820709,12.720487601925,15.5632666989121
"Apr 2023",14.5948122757106,13.6607064377852,15.528918113636,13.1662206768198,16.0234038746014
"May 2023",14.099948160297,13.1436794187611,15.0562169018329,12.6374613253211,15.5624349952729
"Jun 2023",14.2309953293621,13.2721415748022,15.189849083922,12.7645550581275,15.6974356005968
"Jul 2023",14.0311506833983,13.0670475965648,14.9952537702317,12.5566822512409,15.5056191155557
"Aug 2023",14.0613966821053,13.0962295419748,15.0265638222358,12.5853009208603,15.5374924433504
"Sep 2023",13.9777363231455,13.0112313843349,14.944241261956,12.4995945753776,15.4558780709133
"Oct 2023",13.9797323158125,13.0128442393192,14.9466203923058,12.5010046095241,15.4584600221009
"Nov 2023",14.0496734430165,13.0824270231691,15.0169198628639,12.570397697861,15.5289491881721
"Dec 2023",14.005938942275,13.03856422668,14.9733136578701,12.5264669857055,15.4854108988446
"Jan 2024",14.3343759137199,13.3669017969842,15.3018500304555,12.8547519362245,15.8139998912153
"Feb 2024",14.3317979379391,13.3642826471381,15.2993132287401,12.8521109901447,15.8114848857334
"Mar 2024",14.3254131560597,13.3578696131401,15.2929566989792,12.8456830003786,15.8051433117407
"Apr 2024",14.3239715548753,13.356415135897,15.2915279738537,12.8442217069617,15.803721402789
"May 2024",14.3215016497453,13.3539370658439,15.2890662336468,12.8417393146593,15.8012639848314
"Jun 2024",14.3210334723327,13.3534649265802,15.2886020180852,12.8412650781184,15.8008018665469
"Jul 2024",14.3203561875316,13.3527852554126,15.2879271196506,12.8405841436848,15.8001282313785
"Aug 2024",14.320500367823,13.3529282293078,15.2880725063381,12.8407264789524,15.8002742566935
"Sep 2024",14.3206357032398,13.3530628622218,15.2882085442577,12.8408607399839,15.8004106664956
"Oct 2024",14.498563752281,13.5309905467793,15.4661369577826,13.0187882315953,15.9783392729666
"Nov 2024",14.4990451514236,13.5314717389068,15.4666185639403,13.0192693141357,15.9788209887114
"Dec 2024",14.4996485902332,13.5320750695469,15.4672221109194,13.0198725875144,15.979424592952
"Jan 2025",15.19760272547,14.2300291463641,16.165176304576,13.717826633406,16.6773788175341
"Feb 2025",15.1992263200542,14.2316527138716,16.1667999262368,13.71945018658,16.6790024535284
"Mar 2025",15.2007562509942,14.2331826377112,16.1683298642773,13.7209801066608,16.6805323953276
"Apr 2025",15.2022088848678,14.2346352814553,16.1697824882804,13.72243275563,16.6819850141056
"May 2025",15.203558029203,14.2359844584218,16.1711315999841,13.7237819498706,16.6833341085353
"Jun 2025",15.2048202932952,14.2372467849309,16.1723938016595,13.7250443094211,16.6845962771692
"Jul 2025",15.2059626985968,14.238389317982,16.1735360792116,13.7261869100988,16.6857384870949
"Aug 2025",15.2070221338688,14.2394489670923,16.1745953006453,13.7272466724083,16.6867975953294
"Sep 2025",15.2079219159677,14.2403491913254,16.17549464061,13.728147130693,16.6876967012424
"Oct 2025",16.5434389107908,15.5758668837781,17.5110109378035,15.0636651924485,18.0232126291331
"Nov 2025",15.2093430106772,14.2417725149467,16.1769135064077,13.729571634229,16.6891143871255
"Dec 2025",15.209950226207,14.2423819620295,16.1775184903844,13.7301822626246,16.6897181897893
"Jan 2026",15.6762506824173,14.708687805638,16.6438135591965,14.1964909581494,17.1560104066852
"Feb 2026",15.6780485898356,14.7104926655224,16.6456045141489,14.198299498447,17.1577976812243
"Mar 2026",15.6785175971834,14.7109810877311,16.6460541066357,14.1987981982623,17.1582369961046
"Apr 2026",15.6800280725377,14.7125123134364,16.647543831639,14.2003404085398,17.1597157365356
"May 2026",15.6783687254184,14.7109253600122,16.6458120908247,14.1987917780229,17.157945672814
"Jun 2026",15.680231499127,14.7128456457498,16.6476173525042,14.2007425087896,17.1597204894644
"Jul 2026",15.6739485909199,14.7068455867641,16.6410515950756,14.1948921811371,17.1530050007026
"Aug 2026",15.6783639512461,14.7113996971846,16.6453282053077,14.1995197414207,17.1572081610715
"Sep 2026",15.6610739359323,14.6952847022117,16.6268631696529,14.184026764643,17.1381211072216
"Oct 2026",17.8002955080609,16.8347525733759,18.7658384427459,16.3236250186408,19.2769659974809
"Nov 2026",15.6300258769546,14.6697557984619,16.5902959554472,14.1614195251866,17.0986322287226
"Dec 2026",17.5316866974872,16.5715661141751,18.4918072807994,16.0633089788679,19.0000644161065
